Sin nombre: 0, título, Ingredientes, Direcciones, NER
106, Horneado De Queso Y Fideos A La Barbacoa," [""1 lata de Manwich"", ""1 libra de hamburguesa"", ""rebanadas de queso americano"", ""fideos cocidos y escurridos""]","[""Cocine la hamburguesa y desmenúcela"", ""Agregue Manwich"", ""Rocíe Pam en una fuente para hornear"", ""Coloque 1/2 de los fideos, luego 1/2 mezcla de hamburguesa sobre los fideos. Coloque suficientes rebanadas de queso para cubrir la carne. "", ""Colocar todo de nuevo."", ""Hornear durante 1/2 hora a 350\u00b0.""]"," [""Manwich"", ""hamburgo"", ""queso americano"", ""fideos""]"
107, Galleta recortada," [""1/2 taza de manteca vegetal"", ""1/2 taza de mantequilla"", ""1 taza de azúcar"", ""2 huevos batidos"", ""1 1/2 cucharadita de vainilla"", ""2 1/2 taza de mantequilla"". harina"", ""1 cucharadita de levadura en polvo"", ""1/2 cucharadita de sal""]"," [""Mezclar todos los ingredientes"", ""Enfriar durante varias horas"", ""Cortar con cortadores de galletas"", ""Hornear a 350\u00b0 durante 10 minutos"", ""Congelar si lo desea. Rinde aproximadamente 4 docenas"". ]","[""manteca vegetal"", ""mantequilla"", ""azúcar"", ""huevos"", ""vainilla"", ""harina"", ""levadura en polvo"", ""sal""]"
108, La sangría de Don Juan," [""1 lima cortada en gajos"", ""1 naranja cortada en gajos"", ""1/2 manzana grande cortada en gajos finos"", ""1/2 a 3/4 taza de azúcar"", ""1 botella de tinto seco Vino español"", ""1/4 c. brandy"", ""1/4 c. Triple Sec"", ""club soda""]"," [""Exprime el jugo de lima, naranja y manzana en una jarra grande; agrega 1/2 taza de azúcar y trozos de fruta."", ""Vierte el vino, el brandy y el Triple Sec y revuelve con una cuchara de mango largo hasta que esté bien mezclado"". , ""Prueba."", ""Si prefieres la sangría más dulce, agrega hasta 1/4 taza más de azúcar"".]"," [""lima"", ""naranja"", ""manzana"", ""azúcar"", ""tinta española"", ""brandy"", ""Triple Sec"", ""club soda""]"
109, Carne Ranch Y Frijoles,"[""1 libra de hamburguesa cocida y desmenuzada (escurrida)"", ""1 taza de cebolla picada"", ""1 taza de frijoles cocidos y escurridos"", ""1 taza de frijoles mantecosos"", ""1 taza de frijoles horneados"" , ""3/4 taza de salsa de tomate"", ""1 lata de chiles verdes suaves, picados (opcional)"", ""1 cucharada de mostaza preparada"", ""1 cucharadita de caldo de res"", ""1/2 taza de agua"", ""2 cucharadas de miel"", ""2/3 taza de pimiento morrón picado"", ""1 cucharadita de salsa inglesa"", ""1/2 cucharadita de ajo en polvo""]"," [""Combine todos los ingredientes en una olla grande; cocine a fuego lento durante 30 a 45 minutos o hasta que la cebolla y los pimientos se ablanden"", ""Esta receta se triplica y se congela bien"", ""Sirva con pan de maíz"".]","[""hamburguesa"", ""cebolla"", ""frijoles"", ""frijoles mantecosos"", ""frijoles"", ""ketchup"", ""chiles verdes"", ""mostaza"", ""caldo de res"", ""agua"", ""miel"", "" pimiento morrón"", ""salsa inglesa"", ""ajo""]"
110, Galletas De Avena Crujientes," [""4 tazas de avena de cocción rápida"", ""2 tazas de azúcar moreno, envasada"", ""1 taza de aceite para ensalada"", ""2 huevos bien batidos"", ""1/2 cucharadita de sal"", ""1 cucharadita de almendras extracto""]"," [""Mezcle la avena, el azúcar moreno y el aceite; déjelo reposar toda la noche u 8 horas. Precaliente el horno a 325\u00b0."", ""Mezcle el resto de los ingredientes con la mezcla de avena. Deje caer una cucharadita sobre una bandeja para hornear engrasada"", ""Hornee durante 15 minutos. Deje enfriar completamente antes de retirarlo de la bandeja para hornear.""]"," [""avena para cocinar"", ""azúcar moreno"", ""aceite para ensalada"", ""huevos"", ""sal"", ""extracto de almendras""]"
111, Sopa Crujiente De Atún,"[""1 lata de fideos chinos"", ""1 lata de crema de champiñones Campbell's"", ""3/4 taza de agua"", ""1 lata (6 1/2 oz) de atún Pollo del Mar, escurrido y partido en trozos"" , ""1 taza de anacardos o maní"", ""1 taza de apio picado"", ""1/2 taza de cebolla finamente picada"", ""1/2 taza de guisantes cocidos"", ""salsa de soja""]"," [""Reserve 1/2 taza de fideos chinos."", ""En una cacerola de 1 1/2 cuarto, combine los fideos restantes, la sopa, el agua, el atún, los anacardos, el apio, la cebolla y los guisantes."", ""Hornee a 350\u00b0 durante 30 minutos o hasta que esté caliente"", ""Revuelva; espolvoree los fideos reservados alrededor del borde"", ""Hornee 5 minutos más. Sirva con salsa de soja"", ""Rinde aproximadamente 4 1/2 tazas"".]"," [""Fideos chinos"", ""Crema Campbell"", ""agua"", ""Pollo"", ""anacardos"", ""apio"", ""cebolla"", ""guisantes"", ""salsa de soja""]"
112, Bola De Jamón Y Queso,"[""1/2 libra de queso cheddar, rallado"", ""1 paquete (8 oz) de queso crema"", ""1 lata pequeña de jamón relleno"", ""1 cucharada de pimiento picado"", ""aproximadamente 1 cucharada de queso seco perejil, remojado en agua y luego seco con palmaditas sobre una toalla de papel"", ""un chorrito de salsa inglesa"", ""1/2 cucharadita de cebolla fresca picada""]"," [""Mezclar todos los ingredientes"", ""Formar una bola y enrollarla en nueces picadas"", ""Sirva con una variedad de galletas saladas"".]"," [""queso cheddar"", ""queso crema"", ""jamón"", ""pimiento"", ""perejil"", ""salsa inglesa"", ""cebolla""]"
113, Bola de queso," [""2 (8 oz.) de queso crema"", ""2/3 lata de aceitunas negras picadas"", ""1 frasco de carne seca Armor"", ""4 cebollas verdes (con la parte superior y todo)"", ""1/2 frasco de champiñones""]","[""Picarlo todo y mezclar con las manos"", ""Formar una bola y refrigerar durante 1 a 2 días"", ""Espolvorear con pimentón y servir con galletas Ritz"".]"," [""queso crema"", ""aceitunas negras"", ""carne seca de armadura"", ""cebollas verdes"", ""champiñones""]"
114, Ensalada De Pasta Con Pollo (268 Calorías Por Porción)," [""3 1/2 tazas (8 onzas) de conchas grandes (crudas)"", ""2 tazas de pollo cocido (carne blanca) en cubos"", ""2 tazas de flores de brócoli frescas y crudas"", ""2 tazas frescas , coliflor cruda"", ""1 taza de zanahorias en rodajas"", ""1 taza de cebollas verdes en rodajas"", ""1/2 libra de champiñones frescos, en rodajas"", ""1 taza (botella de 8 oz) de aderezo italiano cremoso para ensalada reducido en calorías "", ""3/4 c. de leche desnatada"", ""sal y pimienta al gusto""]","[""Cocine las conchas grandes según las instrucciones del paquete"", ""Escurra y enfríe (enjuague con agua fría para enfriar rápidamente, luego escurra bien). Combine las conchas grandes enfriadas con los ingredientes restantes y mezcle ligeramente"", ""Enfríe"", ""Hace 8 porciones.""]"," [""conchas"", ""pollo"", ""flores de brócoli"", ""coliflor"", ""zanahorias"", ""cebollas verdes"", ""champiñones frescos"", ""aderezo italiano para ensaladas"", ""leche"", ""sal""]"
115, Continental De Calabacín Y Alcachofa," [""1 paquete (9 oz) de corazones de alcachofa congelados"", ""2 cucharadas de agua"", ""3 calabacines medianos (1 libra), cortados en rodajas de 1/4 de pulgada de grosor (4 tazas)"", ""2 tazas. champiñones frescos, cortados por la mitad"", ""2 cucharadas de cebolla verde finamente picada"", ""2 dientes de ajo picados"", ""1 cucharada de margarina o mantequilla"", ""2 tomates medianos, cortados en gajos y sin semillas"", ""1/4 taza . Queso parmesano rallado""]","[""En una cacerola apta para microondas de 2 cuartos, cocine las alcachofas y el agua, tapados, al 100% de potencia (alta) durante 3 a 4 minutos o hasta que se descongelen."", ""Revuelva"", ""Agregue los siguientes 3 ingredientes."", "" Tape."", ""Cocine a temperatura alta durante 9 a 11 minutos (horno de baja potencia durante 12 a 14 minutos) o hasta que estén tiernos; revuelva una vez."", ""Escurra bien"", ""Agregue el ajo y 1/2 cucharadita de sal. y 1/4 cucharadita de pimienta."", ""Ponle margarina o mantequilla."", ""Cubra; cocine a temperatura alta durante 1 minuto."", ""Agregue los tomates; espolvoree con queso."", ""Deje reposar 2 minutos."", "" Rinde 6 porciones.""]"," [""alcachofa congelada"", ""agua"", ""calabacín"", ""champiñones frescos"", ""cebolla verde"", ""ajo"", ""margarina"", ""tomates"", ""queso parmesano""]"
116, Cazuela Suprema De Carne,"[""1 libra de manteca molida"", ""1 cucharadita de manteca vegetal"", ""1 lata (16 oz) de tomates"", ""1 lata (8 oz) de salsa de tomate"", ""2 cucharaditas de sal"", ""2 cucharaditas. azúcar"", ""2 dientes de ajo machacados"", ""1 paquete (5 oz) de fideos de huevo"", ""1 taza de crema agria"", ""1 paquete (3 oz) de queso crema"", ""6 cebollas verdes o cebolletas picadas (con la parte superior)"", ""1 taza de queso rallado""]"," [""Derrita la manteca vegetal en una sartén"", ""Agregue la carne, partiéndola en pedazos con un tenedor"", ""Cocine hasta que se dore"", ""Escurra la grasa"", ""Agregue a la carne los tomates y la salsa de tomate, agregando sal, azúcar y ajo. Cocine a fuego lento durante 5 a 10 minutos."", ""Mientras tanto, cocine los fideos"", ""Escurra bien y con un tenedor mezcle la crema agria, el queso crema y la cebolla"".]","[""manteca molida"", ""manteca vegetal"", ""tomates"", ""salsa de tomate"", ""sal"", ""azúcar"", ""ajo"", ""fideos de huevo"", ""crema agria"", ""queso crema"", ""cebollas verdes"" , ""queso rallado""]"
117, Ensalada de pollo," [""1 lata (12,5 oz.) de pollo blanco en trozos"", ""2 tazas de apio picado"", ""1 paquete pequeño de almendras picadas"", ""1 taza de castañas de agua"", ""1 taza de uvas blancas"", ""1/ 2 cucharaditas de sal”, “1/8 cucharadita de pimienta”, “1 cucharadita de jugo de limón”, “curry en polvo a las castas”, “mayonesa descremada”]"," [""Combine todos los ingredientes; enfríe.""]"," [""trozos de pollo blanco"", ""apio"", ""almendras"", ""castañas de agua"", ""uvas blancas"", ""sal"", ""pimienta"", ""jugo de limón"", ""curry en polvo"", ""mayonesa descremada""]"
118, Pastel de ajedrez,"[""1 barra de margarina"", ""1 1/2 taza de azúcar"", ""1 cucharada de harina"", ""1 cucharada de vinagre"", ""4 huevos (agregue uno a la vez)"", ""una pizca de sal"", "" 1 cucharadita de vainilla""]"," [""Mezcle los ingredientes en el orden indicado"", ""Hornee de 300\u00b0 a 325\u00b0 durante 30 minutos o hasta que estén firmes"".]"," [""margarina"", ""azúcar"", ""harina"", ""vinagre"", ""huevos"", ""sal"", ""vainilla""]"
119, Ensalada Fría De Espaguetis," [""1 libra de fideos"", ""1 libra de pimiento morrón picado fino"", ""2 calabacines pequeños, finamente picados"", ""1 cebolla morada grande, cortada en rodajas finas"", ""1 botella grande de aderezo italiano Bernstien"", ""1/2 a 3/4 de frasco de condimento supremo para ensalada de chelines""]"," [""Cocine los fideos hasta la mitad (no los enjuague)"", ""Agregue todos los demás ingredientes; mezcle bien"", ""Deje marinar al menos 3 horas"", ""¡Cuanto más tiempo repose, mejor quedará!""]","[""fideos"", ""pimiento morrón"", ""calabacín"", ""cebolla morada"", ""Condimento para ensalada suprema""]"
120, Ensalada De Pepino Con Eneldo," [""2 pepinos, en rodajas muy finas"", ""1/3 taza de vinagre blanco"", ""1 cucharadita de sal"", ""3 cucharadas de azúcar"", ""1 cebolla grande, en rodajas finas"", ""eneldo fresco""]"," [""Combine todos los ingredientes, excepto el eneldo, asegurándose de que los jugos se mezclen bien"", ""Decore con eneldo"", ""Enfríe"".]"," [""pepinos"", ""vinagre blanco"", ""sal"", ""azúcar"", ""cebolla"", ""eneldo""]"
121, espaguettis con pollo," [""1 lata (13 oz.) de pollo cocido"", ""1 lata (10 oz.) de crema de champiñones"", ""1 lata (10 oz.) de crema de pollo"", ""1 lata (10 oz.) de Rotel tomates"", ""1 a 2 tazas de queso de su elección"", ""1 paquete (16 oz) de espagueti"", ""1 cucharada de condimento para carne""]","[""Cocine los espaguetis y escúrralos"", ""Mezcle todos los demás ingredientes"", ""Agréguelos a los espaguetis, colóquelos en una cacerola de 13x9"", ""Cocine durante 30 minutos a 350 grados"".]"," [""pollo"", ""crema de champiñones"", ""crema de pollo"", ""tomates"", ""tu elección"", ""espaguetis"", ""condimento para bistec""]"
122, Bola de queso," [""2 (8 oz.) de queso crema"", ""4 tazas de queso picante rallado"", ""1/3 taza de mayonesa"", ""1 cucharadita de salsa inglesa"", ""1/8 cucharadita de sal de ajo"", ""1 /8 cucharadita de sal de apio"", ""1/8 cucharadita de sal de cebolla"", ""1/2 taza de pimiento picado"", ""1/4 taza de aceitunas picadas"", ""1/4 taza de perejil en hojuelas"", ""1 /2 frasco de carne seca picada""]","[""Mezclar todos los ingredientes excepto la carne picada y el perejil."", ""Enfriar durante 1 hora"", ""Formar una bola"", ""Enrollar la carne picada y el perejil hasta que esté bien cubierto"", ""Mantener en el refrigerador"", ""Servir con galleta (cualquier tipo).""]"," [""queso crema"", ""queso picante"", ""mayonesa"", ""salsa inglesa"", ""sal de ajo"", ""sal de apio"", ""sal de cebolla"", ""pimiento"", ""aceitunas"", ""hojuelas de perejil"", ""carne de res"". ""]"
123, Ensalada De Pistacho," [""relleno de pastel de pistacho (instantáneo)"", ""1 lata de piña triturada"", ""1 taza de malvaviscos en miniatura"", ""1/2 recipiente de Cool Whip (pequeño)""]"," [""Mezcle todos los ingredientes y refrigere"", ""Sirva sobre hojas de lechuga"", ""Use un molde de 9 x 13 pulgadas"".]"," [""relleno de tarta de pistacho"", ""piña"", ""malvaviscos""]"
124, Buenos muffins dulces,"[""1 huevo"", ""1/2 taza de leche"", ""1/4 taza de aceite vegetal"", ""1 1/2 taza de harina"", ""1/2 taza de azúcar"", ""2 cucharaditas de levadura en polvo "", ""1/2 cucharadita de sal"", ""1 taza de arándanos (opcional)""]"," [""Calentar el horno a 400\u00b0."", ""Bate el huevo con un tenedor"", ""Agrega los ingredientes restantes, excepto los arándanos, y revuelve hasta que la harina se humedezca. La masa debe tener grumos"", ""Agrega los arándanos, si lo deseas"", ""Rellena"". moldes para muffins 2/3 de su capacidad"", ""Hornear de 20 a 25 minutos"", ""Servir tibio"".]"," [""huevo"", ""leche"", ""aceite vegetal"", ""harina"", ""azúcar"", ""levadura en polvo"", ""sal"", ""arándanos""]"
125, Postre De Crema De Vainilla,"[""1 taza de harina"", ""1 barra de margarina, derretida"", ""1/2 taza de nueces trituradas"", ""1 paquete grande de queso crema"", ""1 paquete grande de Cool Whip"", ""1 taza de azúcar en polvo "", ""2 paquetes grandes de pudín instantáneo de vainilla"", ""3 tazas de leche""]"," [""Mezcle la harina y la margarina derretida"", ""Pase la mezcla a palmaditas en un molde para hornear de 9 x 13 pulgadas"", ""Hornee a 375\u00b0 durante 10 minutos"", ""Deje enfriar"".]"," [""harina"", ""margarina"", ""nueces"", ""queso crema"", ""azúcar en polvo"", ""pudín instantáneo de vainilla"", ""leche""]"
126, Zeppole de San José," [""1 taza de agua"", ""1/2 taza de mantequilla"", ""1 cucharadita de azúcar"", ""1 taza de harina para todo uso"", ""4 huevos grandes""]","[""Combine el agua, la mantequilla, el azúcar y la sal en una cacerola y déjela hervir."", ""Agregue la harina de una vez, luego bata con una cuchara de madera durante 1 minuto o hasta que la mezcla se desprenda de los lados de la cacerola y forme una bola. Enfríe la mezcla ."", ""Agregue los huevos uno a la vez, batiendo después de cada huevo, hasta que la mezcla tenga un brillo satinado."", ""Use una manga pastelera con punta de estrella grande y rellénela con la mezcla."", ""Haga forma de rosquilla con una manga pastelera engrasada bandeja para galletas."", ""Hornee en horno a 400\u00b0 durante 20 minutos o hasta que estén inflados y bien dorados."", ""Enfriar."", ""Corte cada zeppole por la mitad y rellénelo con el siguiente relleno.""]"," [""agua"", ""mantequilla"", ""azúcar"", ""harina"", ""huevos""]"
127," ""Ostras"" de maíz"," [""1 lata de maíz estilo crema"", ""2 huevos"", ""1/2 cucharadita de cebolla rallada"", ""8 a 10 galletas saladas finamente laminadas"", ""sal""]","[""Mezclar y dejar reposar varias horas o toda la noche."", ""Dejar caer una cucharadita en aceite vegetal caliente y freír hasta que se doren por ambos lados"".]"," [""maíz estilo crema"", ""huevos"", ""cebolla"", ""galletas saladas"", ""sal""]"
128, Frijoles de fiesta brillantes," [""2 libras de carne molida"", ""1 paquete de mezcla de cebolla seca"", ""1 lata (No. 3) de frijoles B y M"", ""2 latas (15 oz) de frijoles rojos"", ""2 (15 oz.) latas de frijoles rojos"". ) latas de habas amarillas pequeñas"", ""2 latas de habas tiernas verdes"", ""1/2 taza de azúcar moreno oscuro"", ""1/2 taza de almíbar Karo oscuro o claro"", ""1 cucharadita de chile en polvo"", "" 1 taza de ketchup"", ""1 cucharada de mostaza seca"", ""sal y pimienta al gusto""]","[""Freír la carne molida y las cebollas secas"", ""Agregar sal, pimienta y chile en polvo"", ""Cuando esté dorado, combinar en una sartén grande o en una fuente para asar"", ""Agregar todos los ingredientes, incluidos los jugos"", ""Esto quedará como está aguado."", ""Hornee a 270\u00b0 a 300\u00b0 durante 4 horas."", ""No revuelva durante ese tiempo.""]"," [""carne molida"", ""cebolla"", ""frijoles"", ""frijoles"", ""habas amarillas"", ""bebé verde"", ""azúcar moreno"", ""almíbar"", ""chile en polvo"", ""ketchup"", ""mostaza "", ""sal""]"
